class,age,expID,sessionID,filename,valid
bird,10,cdmrunv3,1532120837108.png,bird_sketch_age10_cdm_run_v31532120837108.png,1
bird,2,cdmrunv3,1531682143759.png,bird_sketch_age2_cdm_run_v31531682143759.png,1
bird,2,cdmrunv3,1531777386499.png,bird_sketch_age2_cdm_run_v31531777386499.png,1
bird,2,cdmrunv3,1532125244036.png,bird_sketch_age2_cdm_run_v31532125244036.png,1
bird,3,cdmrunv3,1527963107380.png,bird_sketch_age3_cdm_run_v31527963107380.png,1
bird,3,cdmrunv3,1527971399240.png,bird_sketch_age3_cdm_run_v31527971399240.png,1
bird,3,cdmrunv3,1527978734885.png,bird_sketch_age3_cdm_run_v31527978734885.png,1
bird,3,cdmrunv3,1527979199137.png,bird_sketch_age3_cdm_run_v31527979199137.png,1
bird,3,cdmrunv3,1528053791790.png,bird_sketch_age3_cdm_run_v31528053791790.png,1
bird,3,cdmrunv3,1528060444990.png,bird_sketch_age3_cdm_run_v31528060444990.png,1
bird,4,cdmrunv3,1531941504435.png,bird_sketch_age4_cdm_run_v31531941504435.png,1
bird,4,cdmrunv3,1532042260290.png,bird_sketch_age4_cdm_run_v31532042260290.png,1
bird,4,cdmrunv3,1532111078231.png,bird_sketch_age4_cdm_run_v31532111078231.png,1
bird,4,cdmrunv3,1532117279024.png,bird_sketch_age4_cdm_run_v31532117279024.png,1
bird,4,cdmrunv3,1532119480468.png,bird_sketch_age4_cdm_run_v31532119480468.png,1
bird,4,cdmrunv3,1532122767230.png,bird_sketch_age4_cdm_run_v31532122767230.png,1
bird,4,cdmrunv3,1532196800622.png,bird_sketch_age4_cdm_run_v31532196800622.png,1
bird,5,cdmrunv3,1527979799077.png,bird_sketch_age5_cdm_run_v31527979799077.png,1
bird,5,cdmrunv3,1527980999104.png,bird_sketch_age5_cdm_run_v31527980999104.png,1
bird,5,cdmrunv3,1528832999278.png,bird_sketch_age5_cdm_run_v31528832999278.png,1
bird,5,cdmrunv3,1529447399138.png,bird_sketch_age5_cdm_run_v31529447399138.png,1
bird,5,cdmrunv3,1529527799264.png,bird_sketch_age5_cdm_run_v31529527799264.png,1
bird,6,cdmrunv3,1531776375845.png,bird_sketch_age6_cdm_run_v31531776375845.png,1
bird,6,cdmrunv3,1531848222253.png,bird_sketch_age6_cdm_run_v31531848222253.png,1
bird,6,cdmrunv3,1531853489687.png,bird_sketch_age6_cdm_run_v31531853489687.png,1
bird,7,cdmrunv3,1529522399308.png,bird_sketch_age7_cdm_run_v31529522399308.png,1
bird,7,cdmrunv3,1529703938903.png,bird_sketch_age7_cdm_run_v31529703938903.png,1
boat,10,cdmrunv3,1532551715260.png,boat_sketch_age10_cdm_run_v31532551715260.png,1
boat,10,cdmrunv3,1532558647575.png,boat_sketch_age10_cdm_run_v31532558647575.png,1
boat,10,cdmrunv3,1532559393734.png,boat_sketch_age10_cdm_run_v31532559393734.png,1
boat,10,cdmrunv3,1532560208636.png,boat_sketch_age10_cdm_run_v31532560208636.png,1
boat,10,cdmrunv3,1532635294487.png,boat_sketch_age10_cdm_run_v31532635294487.png,1
boat,10,cdmrunv3,1532638082222.png,boat_sketch_age10_cdm_run_v31532638082222.png,1
boat,10,cdmrunv3,1532638309368.png,boat_sketch_age10_cdm_run_v31532638309368.png,1
boat,10,cdmrunv3,1532644174021.png,boat_sketch_age10_cdm_run_v31532644174021.png,1
boat,10,cdmrunv3,1532804263628.png,boat_sketch_age10_cdm_run_v31532804263628.png,1
boat,10,cdmrunv3,1532807946580.png,boat_sketch_age10_cdm_run_v31532807946580.png,1
boat,10,cdmrunv3,1533252262986.png,boat_sketch_age10_cdm_run_v31533252262986.png,1
boat,2,cdmrunv3,1534104467272.png,boat_sketch_age2_cdm_run_v31534104467272.png,1
boat,2,cdmrunv3,1534111706202.png,boat_sketch_age2_cdm_run_v31534111706202.png,1
boat,2,cdmrunv3,1534116919979.png,boat_sketch_age2_cdm_run_v31534116919979.png,1
boat,2,cdmrunv3,1534196533014.png,boat_sketch_age2_cdm_run_v31534196533014.png,1
boat,2,cdmrunv3,1534373551923.png,boat_sketch_age2_cdm_run_v31534373551923.png,1
boat,2,cdmrunv3,1534451765550.png,boat_sketch_age2_cdm_run_v31534451765550.png,1
boat,2,cdmrunv3,1534539393276.png,boat_sketch_age2_cdm_run_v31534539393276.png,1
boat,2,cdmrunv3,1534616873341.png,boat_sketch_age2_cdm_run_v31534616873341.png,1
boat,2,cdmrunv3,1534617102179.png,boat_sketch_age2_cdm_run_v31534617102179.png,1
boat,2,cdmrunv3,1534886416878.png,boat_sketch_age2_cdm_run_v31534886416878.png,1
boat,3,cdmrunv3,1535917108620.png,boat_sketch_age3_cdm_run_v31535917108620.png,1
